"","activity","subject","V2","variable","V1"
"1",1,1,"WALKING","tBodyAccMag-mean()",-0.136971176556842
"2",1,1,"WALKING","tGravityAccMag-mean()",-0.136971176556842
"3",1,1,"WALKING","tBodyAccJerkMag-mean()",-0.141428809031579
"4",1,1,"WALKING","tBodyGyroMag-mean()",-0.160979552536842
"5",1,1,"WALKING","tBodyGyroJerkMag-mean()",-0.298703679084211
"6",1,1,"WALKING","fBodyAccMag-mean()",-0.128623450629474
"7",1,1,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0571194000343158
"8",1,1,"WALKING","fBodyBodyGyroMag-mean()",-0.199252568986316
"9",1,1,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.319308593778947
"10",1,1,"WALKING","tBodyAccMag-std()",-0.219688645631579
"11",1,1,"WALKING","tGravityAccMag-std()",-0.219688645631579
"12",1,1,"WALKING","tBodyAccJerkMag-std()",-0.0744717500625263
"13",1,1,"WALKING","tBodyGyroMag-std()",-0.186978364526316
"14",1,1,"WALKING","tBodyGyroJerkMag-std()",-0.325324878894737
"15",1,1,"WALKING","fBodyAccMag-std()",-0.398032586842105
"16",1,1,"WALKING","fBodyBodyAccJerkMag-std()",-0.103492403002105
"17",1,1,"WALKING","fBodyBodyGyroMag-std()",-0.321017953894737
"18",1,1,"WALKING","fBodyBodyGyroJerkMag-std()",-0.381601911789474
"19",1,2,"WALKING","tBodyAccMag-mean()",-0.136971176556842
"20",1,2,"WALKING","tGravityAccMag-mean()",-0.136971176556842
"21",1,2,"WALKING","tBodyAccJerkMag-mean()",-0.141428809031579
"22",1,2,"WALKING","tBodyGyroMag-mean()",-0.160979552536842
"23",1,2,"WALKING","tBodyGyroJerkMag-mean()",-0.298703679084211
"24",1,2,"WALKING","fBodyAccMag-mean()",-0.128623450629474
"25",1,2,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0571194000343158
"26",1,2,"WALKING","fBodyBodyGyroMag-mean()",-0.199252568986316
"27",1,2,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.319308593778947
"28",1,2,"WALKING","tBodyAccMag-std()",-0.219688645631579
"29",1,2,"WALKING","tGravityAccMag-std()",-0.219688645631579
"30",1,2,"WALKING","tBodyAccJerkMag-std()",-0.0744717500625263
"31",1,2,"WALKING","tBodyGyroMag-std()",-0.186978364526316
"32",1,2,"WALKING","tBodyGyroJerkMag-std()",-0.325324878894737
"33",1,2,"WALKING","fBodyAccMag-std()",-0.398032586842105
"34",1,2,"WALKING","fBodyBodyAccJerkMag-std()",-0.103492403002105
"35",1,2,"WALKING","fBodyBodyGyroMag-std()",-0.321017953894737
"36",1,2,"WALKING","fBodyBodyGyroJerkMag-std()",-0.381601911789474
"37",1,3,"WALKING","tBodyAccMag-mean()",-0.254690333275862
"38",1,3,"WALKING","tGravityAccMag-mean()",-0.254690333275862
"39",1,3,"WALKING","tBodyAccJerkMag-mean()",-0.280009317413793
"40",1,3,"WALKING","tBodyGyroMag-mean()",-0.466411754137931
"41",1,3,"WALKING","tBodyGyroJerkMag-mean()",-0.566135217931034
"42",1,3,"WALKING","fBodyAccMag-mean()",-0.290031535172414
"43",1,3,"WALKING","fBodyBodyAccJerkMag-mean()",-0.186764516965517
"44",1,3,"WALKING","fBodyBodyGyroMag-mean()",-0.569755772241379
"45",1,3,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.607751646034483
"46",1,3,"WALKING","tBodyAccMag-std()",-0.328428936551724
"47",1,3,"WALKING","tGravityAccMag-std()",-0.328428936551724
"48",1,3,"WALKING","tBodyAccJerkMag-std()",-0.139916355325862
"49",1,3,"WALKING","tBodyGyroMag-std()",-0.561510683275862
"50",1,3,"WALKING","tBodyGyroJerkMag-std()",-0.567371560862069
"51",1,3,"WALKING","fBodyAccMag-std()",-0.456373080862069
"52",1,3,"WALKING","fBodyBodyAccJerkMag-std()",-0.0898519904044828
"53",1,3,"WALKING","fBodyBodyGyroMag-std()",-0.632643292931034
"54",1,3,"WALKING","fBodyBodyGyroJerkMag-std()",-0.549087007931034
"55",1,4,"WALKING","tBodyAccMag-mean()",-0.260537203
"56",1,4,"WALKING","tGravityAccMag-mean()",-0.260537203
"57",1,4,"WALKING","tBodyAccJerkMag-mean()",-0.29208337425
"58",1,4,"WALKING","tBodyGyroMag-mean()",-0.474291257
"59",1,4,"WALKING","tBodyGyroJerkMag-mean()",-0.58592103925
"60",1,4,"WALKING","fBodyAccMag-mean()",-0.29404651825
"61",1,4,"WALKING","fBodyBodyAccJerkMag-mean()",-0.205672861975
"62",1,4,"WALKING","fBodyBodyGyroMag-mean()",-0.58569008125
"63",1,4,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.6319891625
"64",1,4,"WALKING","tBodyAccMag-std()",-0.331999787
"65",1,4,"WALKING","tGravityAccMag-std()",-0.331999787
"66",1,4,"WALKING","tBodyAccJerkMag-std()",-0.1575240156975
"67",1,4,"WALKING","tBodyGyroMag-std()",-0.57748677375
"68",1,4,"WALKING","tBodyGyroJerkMag-std()",-0.59549767975
"69",1,4,"WALKING","fBodyAccMag-std()",-0.45941415825
"70",1,4,"WALKING","fBodyBodyAccJerkMag-std()",-0.1062396250175
"71",1,4,"WALKING","fBodyBodyGyroMag-std()",-0.645992862
"72",1,4,"WALKING","fBodyBodyGyroJerkMag-std()",-0.5800065365
"73",1,5,"WALKING","tBodyAccMag-mean()",-0.158338674394643
"74",1,5,"WALKING","tGravityAccMag-mean()",-0.158338674394643
"75",1,5,"WALKING","tBodyAccJerkMag-mean()",-0.288333024071429
"76",1,5,"WALKING","tBodyGyroMag-mean()",-0.355933083571429
"77",1,5,"WALKING","tBodyGyroJerkMag-mean()",-0.444532485357143
"78",1,5,"WALKING","fBodyAccMag-mean()",-0.304992488892857
"79",1,5,"WALKING","fBodyBodyAccJerkMag-mean()",-0.269481661080357
"80",1,5,"WALKING","fBodyBodyGyroMag-mean()",-0.484262828928571
"81",1,5,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.548053574821429
